ticker,market_cap,pe_ratio,revenue_growth_yoy,earnings_growth_yoy,debt_to_equity,total_debt
AAPL,3805292789760,32.73,15.7,18.3,102.63,90509000704
MSFT,2782161797120,23.44,16.7,59.8,31.54,123278000128
GOOGL,3838620205056,29.35,18.0,31.1,16.13,66995998720
NVDA,4425454714880,37.16,73.2,95.6,7.25,11411999744
JNJ,581508661248,21.86,9.1,48.6,60.5,49332998144
UNH,277730656256,23.13,12.3,-99.9,81.62,83003998208
PFE,156259139584,20.2,-1.2,-501.95,77.96,67647000576
JPM,830605099008,15.38,2.5,-3.6,158.49,1025994981376
GS,268783960064,17.65,15.2,17.3,596.07,747582980096
V,595687112704,29.01,14.6,17.4,54.61,21176999936
XOM,650931798016,23.32,-1.3,-11.0,18.94,50487001088
CVX,385655308288,29.09,-8.2,-23.8,24.32,46742999040
PG,339136315392,21.47,1.5,-5.4,68.72,36638998528
KO,332668010496,25.42,2.4,3.6,139.79,47914000384
AMZN,2375101186048,30.9,13.6,5.0,43.44,178546999296
CAT,361083699200,40.95,18.0,-11.4,206.67,44058001408
HON,147775537152,33.5,-3.3,-76.4,236.61,35562999808
BA,171156865024,87.82,57.1,312.68,1032.89,56364998656
LLY,853221376000,41.63,42.6,51.4,165.31,43865001984
MMM,78567841792,24.86,2.0,-19.9,276.64,13132000256
