ticker,company_name,sector,market_cap,pe_ratio,revenue_growth_yoy,earnings_growth_yoy,debt_to_equity,total_debt,current_price,return_1m,return_3m,return_6m,return_12m,volatility,beta,sma_20,sma_50,sma_200,price_vs_sma50,ma_signal
AAPL,Apple Inc.,Technology,3130182509955,33.39,2.02,-3.36,146.99,98186000000,208.37,-6.51,-8.85,-9.11,24.4,32.37,1.25,200.68,218.02,226.32,-4.43,strong_bearish
MSFT,Microsoft Corp.,Technology,2890873735074,32.8,15.67,21.8,18.82,60567000000,388.87,0.33,-9.65,-7.34,-3.48,24.86,0.99,372.97,384.23,411.07,1.21,bullish
GOOGL,Alphabet Inc.,Technology,1946907830759,19.45,13.87,35.67,3.15,10886000000,161.4,-0.17,-15.47,-0.27,2.27,31.67,1.1,153.22,163.56,171.38,-1.32,strong_bearish
NVDA,NVIDIA Corp.,Technology,2708005977661,37.16,114.2,144.89,12.58,9982000000,110.98,-0.38,-6.25,-20.44,39.37,60.16,2.18,105.29,115.21,125.52,-3.67,strong_bearish
JNJ,Johnson & Johnson,Healthcare,362668123359,25.78,4.3,-59.99,66.9,52252000000,150.39,-5.24,1.91,-5.3,7.41,19.17,-0.02,150.9,155.43,151.02,-3.24,bearish
UNH,UnitedHealth Group,Healthcare,375571864778,26.07,7.71,-35.64,85.51,81271000000,407.16,-18.82,-22.65,-25.25,-12.72,39.2,0.23,502.57,488.05,529.36,-16.57,strong_bearish
PFE,Pfizer Inc.,Healthcare,121192662811,15.09,6.84,279.0,67.85,61291000000,21.37,-8.36,-14.67,-18.02,-7.28,24.23,0.38,21.39,23.11,24.75,-7.53,strong_bearish
JPM,JPMorgan Chase,Financials,666909487601,11.41,9.35,18.0,134.37,472204000000,238.9,-1.24,-7.82,10.25,29.06,28.42,0.95,228.62,238.26,226.3,0.27,strong_bullish
GS,Goldman Sachs,Financials,166055428456,11.63,15.69,67.64,290.22,360740000000,533.8,-2.52,-13.54,6.39,31.64,33.58,1.36,503.23,546.82,532.44,-2.38,bearish
V,Visa Inc.,Financials,642778101485,32.56,10.02,14.3,54.59,20762000000,332.68,-4.2,0.36,18.54,22.78,21.89,0.73,329.45,337.86,303.04,-1.53,bearish
XOM,Exxon Mobil,Energy,454248542958,13.49,1.36,-6.47,14.29,37551000000,104.96,-7.91,-0.57,-8.17,-7.28,23.94,0.52,104.39,106.38,108.73,-1.33,strong_bearish
CVX,Chevron Corp.,Energy,232455277798,13.16,-1.78,-17.35,19.89,29681000000,132.76,-16.75,-10.79,-5.83,-11.52,25.28,0.69,138.28,146.07,143.09,-9.11,bearish
PG,Procter & Gamble,Consumer Goods,366961528717,24.66,2.48,1.54,65.31,34141000000,156.52,-3.96,-4.5,-3.87,1.45,18.88,0.11,160.63,162.71,162.28,-3.81,bearish
KO,Coca-Cola Co.,Consumer Goods,303302117950,28.53,2.86,-0.77,187.43,49111000000,69.88,1.65,13.42,7.32,20.33,16.41,0.08,69.52,68.52,64.73,1.99,strong_bullish
AMZN,Amazon.com Inc.,Consumer Goods,2005637558486,33.85,10.99,94.73,43.56,133245000000,188.99,-6.14,-19.72,2.32,7.02,33.8,1.36,181.45,196.55,199.22,-3.85,strong_bearish
CAT,Caterpillar Inc.,Industrials,145087867752,13.44,-3.36,4.42,213.58,38588000000,303.17,-9.25,-22.04,-19.88,-14.33,31.34,1.14,296.56,320.46,351.52,-5.4,strong_bearish
HON,Honeywell International,Industrials,119148991358,20.89,5.17,0.83,188.01,32832000000,183.77,-7.01,-11.29,-8.68,4.41,23.59,0.75,184.05,189.86,194.71,-3.21,strong_bearish
BA,Boeing Co.,Industrials,134175368246,,-14.5,-431.82,-1612.57,53618000000,177.95,-0.65,1.59,13.3,8.29,40.27,1.21,160.06,166.7,165.75,6.75,strong_bullish
LLY,Eli Lilly & Co.,Healthcare,788469303053,74.45,32.0,102.1,244.32,38515900000,878.04,7.65,9.64,-1.74,21.59,35.92,0.75,782.3,826.78,837.3,6.2,bullish
MMM,3M Company,Industrials,73390141322,17.59,-0.14,159.66,315.12,14067000000,134.84,-7.49,-8.92,8.46,52.63,34.28,0.97,133.7,141.53,131.04,-4.73,bearish
