outcome,treatment,observed_diff,null_mean,null_std,p_permutation,n_permutations
hhi,fundamental,0.03644275093279233,-4.9477090502284195e-05,0.004876688299339635,0.0,5000
hhi,technical,0.011893855154359707,1.024599565856976e-05,0.002468939619158955,0.0,5000
hhi,combined,0.008069053784532924,1.7930175713295916e-05,0.0016702089274128575,0.0,5000
sector_hhi,fundamental,0.09586760620673102,-2.6868929216758996e-05,0.013208071599124644,0.0,5000
sector_hhi,technical,-0.01627049136689046,2.852565228543732e-05,0.0024235384570653997,0.0,5000
sector_hhi,combined,0.010162663754956641,-7.403408572008097e-05,0.003157419878462336,0.0008,5000
portfolio_beta,fundamental,0.23104810410666654,-0.0009031890420666642,0.030302822734781548,0.0,5000
portfolio_beta,technical,-0.14106913909000007,0.00014993419838533459,0.01886125642612663,0.0,5000
portfolio_beta,combined,0.029088248869999944,-7.137150855733432e-05,0.008309008421381613,0.0,5000
portfolio_vol,fundamental,3.851730359796669,0.011429671113079987,0.5042886310072975,0.0,5000
portfolio_vol,technical,-2.4758634973733358,0.0027606885423146865,0.33914901268804865,0.0,5000
portfolio_vol,combined,0.11456488436666135,0.0007596606994693957,0.13947788962613297,0.4436,5000
